id1,id2,id3,id4,id5,id6,v1,v2,v3
id001,id092,id0000000008,80,83,71,3,4,19.663
id086,id027,id0000000012,62,15,45,5,15,45.936294
id096,id071,id0000000008,70,17,70,3,12,94.716522
id064,id075,id0000000010,71,25,45,2,12,59.081498
id016,id098,id0000000008,36,55,90,3,3,19.131377
id012,id095,id0000000058,22,85,77,2,5,33.407098
id004,id020,id0000000047,23,89,52,5,9,19.435996
id036,id015,id0000000062,87,78,12,1,15,38.648083
id087,id090,id0000000071,17,93,5,4,6,87.488582
id025,id096,id0000000056,84,40,37,1,14,49.489607
id083,id030,id0000000045,91,77,90,3,4,89.843305
id008,id075,id0000000073,8,72,19,2,2,81.494949
id006,id096,id0000000015,26,19,51,2,11,30.494509
id048,id082,id0000000037,82,59,91,1,10,13.694984
id015,id031,id0000000014,2,73,69,3,8,25.781587
id090,id058,id0000000026,30,86,15,5,2,90.140775
id031,id071,id0000000078,94,87,92,3,8,21.417006
id045,id100,id0000000016,46,61,94,3,7,34.040531
id004,id097,id0000000085,8,88,36,4,1,80.392096
id062,id053,id0000000085,28,16,52,2,4,33.021713
id071,id022,id0000000027,32,86,20,4,3,26.468398
id054,id069,id0000000029,14,94,69,4,6,86.16608
id039,id075,id0000000007,63,75,63,3,2,43.392476
id056,id027,id0000000046,42,37,38,5,13,81.728412
id033,id053,id0000000044,5,22,72,3,2,39.625334
id042,id057,id0000000020,96,5,94,3,7,80.137208
id043,id022,id0000000087,89,99,36,3,12,10.492747
id013,id082,id0000000081,85,1,3,3,13,37.075723
id053,id072,id0000000070,74,78,41,3,7,45.893069
id100,id046,id0000000020,65,18,88,1,7,63.714691
id097,id013,id0000000092,92,75,86,4,15,20.44647
id019,id033,id0000000057,25,63,98,3,4,5.392537
id004,id011,id0000000076,69,36,72,1,12,89.726565
id035,id098,id0000000043,5,58,91,3,5,29.492444
id079,id062,id0000000052,8,68,89,3,4,30.972084
id023,id051,id0000000099,31,63,70,4,8,41.70551
id003,id048,id0000000095,47,22,33,5,14,18.285572
id071,id042,id0000000074,6,83,4,3,3,0.259033
id074,id019,id0000000034,70,74,100,1,1,68.852159
id085,id063,id0000000060,88,99,87,5,9,23.341565
id033,id058,id0000000060,93,14,21,3,6,0.685337
id008,id038,id0000000078,90,62,30,4,3,73.032266
id036,id060,id0000000036,34,53,20,4,2,68.426348
id061,id030,id0000000062,1,82,5,1,10,79.054836
id032,id050,id0000000069,95,25,94,4,4,20.286782
id011,id083,id0000000083,58,24,100,5,14,38.10881
id032,id037,id0000000006,84,26,85,5,12,63.331876
id091,id099,id0000000041,13,11,58,2,9,90.684656
id073,id053,id0000000015,13,80,2,5,12,58.794255
id037,id017,id0000000099,82,7,5,2,2,49.792339
id061,id035,id0000000051,4,74,12,2,4,77.93794
id076,id035,id0000000006,87,19,26,4,12,97.905297
id010,id062,id0000000033,96,11,50,4,1,14.21756
id064,id052,id0000000042,32,2,5,1,12,95.911272
id053,id078,id0000000025,33,25,44,5,5,30.653159
id089,id009,id0000000087,3,58,35,2,12,45.470847
id096,id032,id0000000025,52,81,77,1,14,43.535784
id054,id021,id0000000033,96,100,47,2,11,30.689069
id027,id016,id0000000076,96,58,99,4,13,8.823706
id030,id005,id0000000082,74,80,69,3,7,41.367565
id079,id037,id0000000053,42,62,57,2,13,97.272493
id082,id088,id0000000025,18,73,13,4,1,91.047114
id010,id063,id0000000024,3,52,42,1,11,42.337512
id036,id064,id0000000044,87,78,13,2,8,94.062559
id070,id006,id0000000075,62,12,51,3,8,76.136765
id037,id066,id0000000083,77,78,25,1,4,52.291881
id100,id086,id0000000080,88,36,60,2,6,8.415296
id015,id036,id0000000060,50,2,33,2,13,97.062158
id041,id048,id0000000009,54,84,16,4,14,5.318849
id023,id025,id0000000044,77,7,89,2,6,73.720633
id076,id042,id0000000073,43,26,85,1,8,45.680903
id036,id018,id0000000099,35,9,34,2,14,53.256115
id058,id078,id0000000077,5,4,89,3,5,22.706202
id094,id057,id0000000042,40,37,10,1,8,21.298011
id079,id014,id0000000020,26,54,76,2,13,7.749558
id094,id001,id0000000040,24,22,60,1,13,32.577199
id051,id046,id0000000067,75,99,100,4,10,22.194121
id036,id063,id0000000015,26,17,71,4,13,94.587215
id092,id021,id0000000052,64,11,63,5,4,7.068507
id012,id054,id0000000080,99,67,11,2,2,75.249421
id076,id082,id0000000027,65,50,14,2,12,77.962298
id026,id027,id0000000088,73,82,14,1,11,62.274615
id059,id079,id0000000010,12,75,79,5,13,84.280868
id063,id041,id0000000068,31,47,21,2,15,23.03593
id062,id039,id0000000017,100,92,100,4,8,31.873368
id007,id012,id0000000077,8,21,95,3,9,40.39279
id002,id074,id0000000032,68,16,48,3,15,73.754331
id055,id051,id0000000006,17,55,72,2,5,12.671705
id041,id042,id0000000043,31,34,35,5,6,11.384999
id045,id047,id0000000047,38,12,70,2,7,65.05699
id028,id078,id0000000061,16,96,20,5,5,90.284066
id060,id057,id0000000064,75,90,14,2,4,62.014264
id053,id014,id0000000029,48,14,65,4,8,88.986263
id013,id029,id0000000078,48,45,7,3,14,16.001928
id027,id015,id0000000009,69,18,58,1,9,74.86468
id094,id086,id0000000048,91,73,75,3,4,14.172923
id024,id076,id0000000019,66,50,99,4,6,42.581389
id092,id021,id0000000040,89,25,34,2,11,34.301549
id092,id083,id0000000045,31,74,44,3,3,6.983724
id013,id031,id0000000027,13,24,22,2,5,85.673727
id057,id061,id0000000100,62,63,55,3,2,27.101883
id093,id035,id0000000092,29,87,58,4,4,84.058697
id040,id058,id0000000067,20,23,52,3,5,36.441775
id043,id081,id0000000076,60,100,47,3,8,53.901253
id099,id099,id0000000062,96,91,40,4,9,53.920116
id010,id055,id0000000039,10,35,45,3,7,40.728902
id058,id098,id0000000034,62,13,49,1,8,39.89154
id083,id039,id0000000006,61,76,33,3,7,67.332567
id012,id028,id0000000072,1,54,30,2,3,95.787263
id068,id092,id0000000098,91,74,44,2,8,36.55105
id051,id062,id0000000010,21,92,71,5,11,72.186885
id029,id087,id0000000045,76,14,81,1,3,42.015668
id100,id041,id0000000010,93,50,37,5,15,53.972248
id009,id030,id0000000081,26,74,7,5,10,64.051262
id085,id002,id0000000012,70,5,42,5,7,4.780748
id038,id033,id0000000006,14,23,66,5,11,17.122895
id089,id002,id0000000002,72,94,87,3,5,73.271619
id012,id001,id0000000090,45,11,60,5,8,70.115471
id036,id099,id0000000025,2,30,81,4,5,16.478079
id069,id054,id0000000062,98,9,92,4,3,10.08329
id099,id040,id0000000044,44,10,90,1,10,44.134993
id064,id039,id0000000081,46,40,60,2,4,53.832436
id024,id069,id0000000052,77,73,67,2,6,72.871469
id057,id061,id0000000079,45,58,1,2,6,41.449182
id078,id005,id0000000047,23,78,53,3,14,81.180451
id032,id093,id0000000080,72,22,79,1,5,57.348596
id008,id027,id0000000038,3,1,89,5,6,24.086471
id031,id083,id0000000009,88,75,38,3,2,2.853639
id010,id003,id0000000087,56,88,23,2,8,58.647607
id035,id058,id0000000074,55,55,54,3,8,86.053689
id076,id020,id0000000017,59,47,86,4,2,88.473896
id027,id100,id0000000029,50,84,1,2,12,12.708151
