id1,id2,id4,id5,v2
7,1,id2,id1,99.915184
4,2,id1,id2,52.350798
6,3,id2,id3,2.93488
4,4,id4,id4,36.511974
5,5,id3,id5,12.816675
4,6,id8,id6,25.677329
1,7,id2,id7,13.586006
10,8,id9,id8,83.565609
3,9,id7,id9,94.028651
1,10,id1,id10,63.271138
4,11,id6,id11,43.597212
4,12,id7,id12,58.38741
3,13,id4,id13,91.191092
10,14,id8,id14,74.493897
3,15,id3,id15,55.833326
6,16,id9,id16,57.647559
2,17,id8,id17,24.668265
10,18,id6,id18,2.909993
6,19,id6,id19,40.925783
9,20,id8,id20,28.032641
2,21,id9,id21,60.948882
1,22,id6,id22,93.799991
6,23,id5,id23,93.118254
6,24,id10,id24,93.045626
8,25,id1,id25,36.849646
9,26,id7,id26,51.489252
4,27,id6,id27,71.35052
7,28,id3,id28,75.187741
6,29,id10,id29,46.683492
5,30,id9,id30,37.351826
9,31,id8,id31,99.845634
3,32,id8,id32,0.139333
8,33,id8,id33,8.780163
10,34,id6,id34,81.871081
4,35,id5,id35,38.675726
2,36,id7,id36,75.181763
1,37,id6,id37,56.247683
6,38,id2,id38,39.12832
6,39,id8,id39,65.529346
9,40,id10,id40,39.517368
2,41,id7,id41,68.190697
9,42,id6,id42,71.93774
7,43,id2,id43,47.091099
4,44,id6,id44,29.568649
7,45,id2,id45,41.173179
8,46,id5,id46,30.925705
4,47,id8,id47,56.106691
4,48,id7,id48,63.527477
4,49,id8,id49,76.907615
6,50,id2,id50,84.433925
10,51,id2,id51,32.529135
4,52,id2,id52,84.684868
7,53,id9,id53,27.714967
3,54,id6,id54,29.051617
7,55,id10,id55,79.154518
9,56,id1,id56,20.137984
5,57,id6,id57,22.470504
2,58,id5,id58,90.608162
7,59,id5,id59,77.664199
5,60,id2,id60,5.297751
1,61,id5,id61,29.77558
7,62,id9,id62,67.786933
8,63,id4,id63,75.913395
10,64,id7,id64,24.562315
3,65,id4,id65,40.108078
6,66,id5,id66,58.909852
4,67,id1,id67,82.761367
3,68,id10,id68,92.980721
10,69,id1,id69,38.275103
9,70,id2,id70,53.005966
6,71,id5,id71,91.520661
4,72,id3,id72,37.808774
3,73,id9,id73,72.726124
3,74,id7,id74,9.825374
8,75,id10,id75,37.196646
6,76,id4,id76,17.283358
5,77,id1,id77,81.750354
7,78,id5,id78,5.094075
7,79,id6,id79,99.848622
5,80,id2,id80,77.495347
2,81,id9,id81,94.868786
2,82,id8,id82,70.949804
1,83,id3,id83,48.360975
3,84,id7,id84,48.995509
6,85,id3,id85,9.849051
6,86,id7,id86,61.530658
1,87,id9,id87,34.393692
6,88,id10,id88,34.966431
4,89,id1,id89,76.333375
4,90,id9,id90,26.092293
8,91,id3,id91,29.146636
10,92,id7,id92,83.468026
2,93,id7,id93,18.70854
6,94,id4,id94,74.655401
9,95,id5,id95,0.680857
3,96,id3,id96,70.645594
8,97,id4,id97,16.16692
3,98,id7,id98,75.956613
4,99,id6,id99,95.233283
10,100,id7,id100,78.408066
5,101,id7,id101,65.357828
2,102,id8,id102,62.121309
9,103,id3,id103,18.148158
3,104,id2,id104,16.661779
1,105,id8,id105,29.71343
3,106,id8,id106,54.306923
1,107,id4,id107,15.286148
9,108,id8,id108,35.710733
10,109,id6,id109,52.704048
10,110,id7,id110,60.434902
6,111,id8,id111,99.702125
1,112,id3,id112,70.156387
9,113,id1,id113,30.19619
1,114,id7,id114,59.492991
1,115,id10,id115,86.114824
9,116,id5,id116,24.985258
1,117,id8,id117,12.733549
8,118,id4,id118,0.172956
10,119,id6,id119,1.550486
10,120,id2,id120,6.18232
5,121,id9,id121,95.438095
10,122,id8,id122,6.319594
8,123,id9,id123,0.783924
4,124,id8,id124,14.747084
9,125,id5,id125,80.743038
2,126,id9,id126,63.428423
9,127,id4,id127,29.317849
2,128,id9,id128,80.665698
7,129,id4,id129,4.229567
3,130,id10,id130,21.114713
1,131,id7,id131,68.196084
4,132,id2,id132,62.059637
2,133,id8,id133,34.086212
4,134,id9,id134,60.772114
4,135,id5,id135,45.805513
4,136,id9,id136,82.795173
2,137,id1,id137,15.854168
6,138,id3,id138,73.390029
9,139,id7,id139,80.471723
9,140,id1,id140,40.119646
1,141,id9,id141,45.193414
3,142,id2,id142,45.278519
1,143,id1,id143,24.081801
5,144,id10,id144,83.924728
5,145,id1,id145,42.168416
3,146,id8,id146,83.936101
7,147,id2,id147,83.751809
3,148,id7,id148,33.490572
3,149,id10,id149,25.466681
9,150,id1,id150,4.89811
6,151,id9,id151,29.680112
3,152,id1,id152,44.8357
2,153,id5,id153,61.458721
9,154,id9,id154,6.273364
8,155,id1,id155,76.292609
2,156,id1,id156,10.170509
10,157,id3,id157,6.264831
4,158,id6,id158,25.90046
8,159,id1,id159,89.126648
1,160,id8,id160,6.526577
8,161,id10,id161,65.196391
1,162,id5,id162,69.993417
6,163,id5,id163,73.986997
3,164,id4,id164,65.885341
4,165,id5,id165,64.767765
5,166,id7,id166,33.23954
9,167,id9,id167,29.255282
2,168,id8,id168,38.171855
2,169,id8,id169,32.858814
5,170,id10,id170,77.045499
8,171,id10,id171,90.238829
10,172,id5,id172,27.81856
10,173,id4,id173,30.211209
1,174,id8,id174,25.359452
7,175,id2,id175,56.648561
10,176,id5,id176,22.05094
9,177,id7,id177,85.03713
9,178,id2,id178,76.609374
10,179,id3,id179,64.572637
5,180,id5,id180,93.64277
9,181,id9,id181,36.190227
2,182,id8,id182,53.18749
7,183,id2,id183,85.735546
1,184,id1,id184,49.502272
6,185,id5,id185,94.123557
6,186,id1,id186,37.703686
10,187,id5,id187,47.905372
8,188,id3,id188,75.974511
10,189,id9,id189,55.817284
5,190,id5,id190,81.442915
3,191,id2,id191,82.540527
5,192,id7,id192,15.651649
7,193,id6,id193,9.916706
6,194,id5,id194,42.448417
3,195,id10,id195,13.037673
6,196,id6,id196,72.688656
5,197,id5,id197,69.666011
10,198,id9,id198,99.843143
7,199,id2,id199,15.165463
1,200,id8,id200,46.868324
4,201,id1,id201,21.555526
3,202,id7,id202,59.296634
9,203,id5,id203,5.637667
3,204,id5,id204,27.887915
5,205,id9,id205,92.051788
3,206,id3,id206,44.834991
3,207,id6,id207,84.687743
8,208,id6,id208,12.797786
1,209,id1,id209,11.343981
8,210,id3,id210,58.949204
1,211,id2,id211,25.075879
8,212,id9,id212,93.804463
4,213,id8,id213,31.722268
6,214,id10,id214,34.365846
8,215,id7,id215,17.930188
8,216,id8,id216,63.754789
6,217,id4,id217,51.265215
6,218,id8,id218,23.475235
10,219,id5,id219,42.053421
4,220,id2,id220,94.389521
7,221,id8,id221,38.947926
5,222,id10,id222,8.42223
5,223,id7,id223,21.603963
4,224,id1,id224,81.844283
6,225,id3,id225,5.3427
7,226,id8,id226,42.882821
4,227,id3,id227,51.525262
4,228,id5,id228,15.142325
3,229,id7,id229,19.017968
5,230,id5,id230,69.858588
2,231,id8,id231,43.360853
3,232,id1,id232,81.654174
2,233,id8,id233,33.7492
2,234,id4,id234,19.141642
10,235,id1,id235,95.66996
3,236,id6,id236,26.074146
4,237,id2,id237,62.573379
6,238,id6,id238,29.306708
4,239,id3,id239,60.032008
9,240,id2,id240,78.520196
1,241,id4,id241,20.153556
5,242,id6,id242,7.290768
8,243,id3,id243,38.79018
5,244,id2,id244,77.84503
5,245,id10,id245,18.600217
3,246,id5,id246,68.49732
5,247,id6,id247,45.451811
6,248,id6,id248,67.055544
6,249,id5,id249,23.035758
7,250,id3,id250,37.566017
2,251,id7,id251,83.286544
2,252,id6,id252,47.375111
3,253,id2,id253,39.189118
7,254,id4,id254,20.569659
6,255,id7,id255,1.307846
9,256,id4,id256,49.89609
8,257,id10,id257,68.019673
9,258,id6,id258,78.548605
2,259,id6,id259,28.906306
1,260,id9,id260,8.985987
8,261,id6,id261,21.135353
9,262,id10,id262,16.774151
9,263,id4,id263,88.71908
6,264,id4,id264,52.512321
7,265,id2,id265,30.176838
3,266,id5,id266,56.244066
8,267,id2,id267,56.415464
1,268,id6,id268,15.231762
6,269,id1,id269,89.280548
6,270,id3,id270,25.453688
10,271,id10,id271,46.851268
4,272,id10,id272,73.550795
1,273,id8,id273,5.445615
2,274,id3,id274,84.652787
8,275,id5,id275,41.878229
8,276,id7,id276,70.982308
1,277,id2,id277,50.455192
10,278,id3,id278,35.154912
10,279,id4,id279,5.652598
7,280,id7,id280,41.375222
9,281,id1,id281,98.206415
3,282,id6,id282,60.519308
8,283,id5,id283,91.831185
2,284,id6,id284,3.219548
2,285,id3,id285,79.715275
9,286,id3,id286,74.127968
9,287,id7,id287,50.643099
8,288,id6,id288,13.307955
10,289,id5,id289,22.178355
5,290,id9,id290,30.469546
5,291,id1,id291,79.177133
8,292,id10,id292,48.625647
8,293,id9,id293,26.715529
7,294,id7,id294,3.191572
3,295,id7,id295,88.16993
10,296,id5,id296,28.755571
9,297,id9,id297,95.443977
8,298,id8,id298,76.430841
5,299,id5,id299,60.056911
8,300,id2,id300,31.814747
3,301,id6,id301,25.965156
7,302,id1,id302,1.637533
1,303,id4,id303,66.495355
4,304,id10,id304,47.246468
8,305,id1,id305,45.139209
9,306,id2,id306,6.026771
3,307,id4,id307,6.418972
7,308,id5,id308,3.076601
1,309,id8,id309,0.607141
5,310,id1,id310,53.916792
9,311,id5,id311,39.571804
4,312,id9,id312,14.114516
2,313,id7,id313,25.555655
6,314,id1,id314,26.974095
3,315,id1,id315,23.473485
7,316,id5,id316,75.117916
7,317,id3,id317,45.822341
8,318,id7,id318,95.558235
5,319,id10,id319,95.176899
2,320,id7,id320,51.59297
5,321,id5,id321,83.478068
3,322,id9,id322,98.418212
9,323,id5,id323,70.102448
10,324,id1,id324,3.613232
8,325,id7,id325,12.905262
8,326,id10,id326,91.487455
2,327,id9,id327,86.492213
2,328,id10,id328,72.261139
6,329,id1,id329,21.3164
3,330,id9,id330,82.430256
2,331,id4,id331,89.028786
8,332,id7,id332,58.223245
7,333,id6,id333,17.018962
7,334,id7,id334,12.056025
4,335,id2,id335,85.774996
4,336,id7,id336,27.975442
7,337,id6,id337,12.847515
2,338,id1,id338,10.339277
3,339,id8,id339,4.908833
3,340,id6,id340,88.003618
1,341,id9,id341,27.264447
9,342,id4,id342,49.503638
7,343,id7,id343,72.131903
3,344,id7,id344,2.81376
6,345,id2,id345,75.558703
3,346,id1,id346,99.726811
6,347,id4,id347,40.131126
6,348,id6,id348,11.430755
6,349,id10,id349,11.197457
8,350,id2,id350,37.09282
8,351,id1,id351,65.292765
1,352,id2,id352,14.684062
5,353,id3,id353,39.991538
1,354,id7,id354,42.25124
4,355,id5,id355,28.47504
10,356,id9,id356,37.092829
10,357,id4,id357,90.353807
10,358,id1,id358,74.273465
3,359,id9,id359,33.214371
9,360,id4,id360,71.661299
1,361,id10,id361,6.178023
8,362,id2,id362,70.812602
2,363,id9,id363,18.089997
10,364,id6,id364,34.893209
9,365,id9,id365,53.063204
2,366,id3,id366,15.142547
5,367,id5,id367,68.489425
2,368,id8,id368,70.869946
7,369,id4,id369,44.371526
9,370,id1,id370,77.412951
3,371,id5,id371,87.223685
7,372,id6,id372,16.408103
1,373,id10,id373,56.944692
4,374,id8,id374,8.466395
5,375,id3,id375,32.447245
10,376,id4,id376,5.509759
6,377,id9,id377,99.075989
2,378,id2,id378,32.058129
8,379,id2,id379,35.232076
4,380,id5,id380,64.765336
7,381,id7,id381,40.099645
10,382,id10,id382,17.012528
6,383,id7,id383,99.569071
2,384,id8,id384,73.763059
3,385,id2,id385,19.872997
